
============================================================
[DP Calibration]
  Target ε     = 8.0
  Target δ     = 1e-05
  Num rounds   = 25
  Sampling q   = 0.600 (3/5 clients)
  → Calibrated σ = 1.6701
============================================================

[Verification] σ=1.6701 → ε=8.0089 at α=3.0
               δ=1e-05, rounds=25, q=0.600

!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>

[DP-FedRAG] Starting training with formal privacy guarantee...
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-Client 0] step 10/11, C=2.9759, σ=1.6700732421874998, ‖∇‖=6499.9958
[DP-Client 1] step 0/16, C=1.9413, σ=1.6700732421874998, ‖∇‖=4240.1388
[DP-Client 1] step 3/16, C=1.9413, σ=1.6700732421874998, ‖∇‖=4239.8004
[DP-Client 1] step 6/16, C=1.9413, σ=1.6700732421874998, ‖∇‖=4240.3531
[DP-Client 1] step 9/16, C=1.9413, σ=1.6700732421874998, ‖∇‖=4240.2616
[DP-Client 1] step 12/16, C=1.9413, σ=1.6700732421874998, ‖∇‖=4240.9326
[DP-Client 1] step 15/16, C=1.9413, σ=1.6700732421874998, ‖∇‖=4240.2962
[DP-Client 2] step 0/22, C=3.0832, σ=1.6700732421874998, ‖∇‖=6735.5924
[DP-Client 2] step 4/22, C=3.0832, σ=1.6700732421874998, ‖∇‖=6735.8782
[DP-Client 2] step 8/22, C=3.0832, σ=1.6700732421874998, ‖∇‖=6734.8287
[DP-Client 2] step 12/22, C=3.0832, σ=1.6700732421874998, ‖∇‖=6734.6527
[DP-Client 2] step 16/22, C=3.0832, σ=1.6700732421874998, ‖∇‖=6734.5000
[DP-Client 2] step 20/22, C=3.0832, σ=1.6700732421874998, ‖∇‖=6734.8527
[DP-Client 3] step 0/16, C=2.7948, σ=1.6700732421874998, ‖∇‖=6105.1586
[DP-Client 3] step 3/16, C=2.7948, σ=1.6700732421874998, ‖∇‖=6104.7740
[DP-Client 3] step 6/16, C=2.7948, σ=1.6700732421874998, ‖∇‖=6105.2171
[DP-Client 3] step 9/16, C=2.7948, σ=1.6700732421874998, ‖∇‖=6104.7284
[DP-Client 3] step 12/16, C=2.7948, σ=1.6700732421874998, ‖∇‖=6104.4127
[DP-Client 3] step 15/16, C=2.7948, σ=1.6700732421874998, ‖∇‖=6105.5322
[DP-Client 4] step 0/50, C=2.5186, σ=1.6700732421874998, ‖∇‖=5501.5573
[DP-Client 4] step 10/50, C=2.5186, σ=1.6700732421874998, ‖∇‖=5501.0726
[DP-Client 4] step 20/50, C=2.5186, σ=1.6700732421874998, ‖∇‖=5501.4496
[DP-Client 4] step 30/50, C=2.5186, σ=1.6700732421874998, ‖∇‖=5501.3717
[DP-Client 4] step 40/50, C=2.5186, σ=1.6700732421874998, ‖∇‖=5500.8259
[DP-Client 0] step 0/11, C=2.6478, σ=1.6700732421874998, ‖∇‖=5783.0235
[DP-Client 0] step 2/11, C=2.6478, σ=1.6700732421874998, ‖∇‖=5784.2857
[DP-Client 0] step 4/11, C=2.6478, σ=1.6700732421874998, ‖∇‖=5783.5654
[DP-Client 0] step 6/11, C=2.6478, σ=1.6700732421874998, ‖∇‖=5784.0664
[DP-Client 0] step 8/11, C=2.6478, σ=1.6700732421874998, ‖∇‖=5784.2277
[DP-Client 0] step 10/11, C=2.6478, σ=1.6700732421874998, ‖∇‖=5783.5346
[DP-Client 1] step 0/16, C=2.6356, σ=1.6700732421874998, ‖∇‖=5757.1193
[DP-Client 1] step 3/16, C=2.6356, σ=1.6700732421874998, ‖∇‖=5756.8054
[DP-Client 1] step 6/16, C=2.6356, σ=1.6700732421874998, ‖∇‖=5756.8577
[DP-Client 1] step 9/16, C=2.6356, σ=1.6700732421874998, ‖∇‖=5756.9599
[DP-Client 1] step 12/16, C=2.6356, σ=1.6700732421874998, ‖∇‖=5757.9751
[DP-Client 1] step 15/16, C=2.6356, σ=1.6700732421874998, ‖∇‖=5757.5698
